pid,event_id,dt,ts,duration_in_sec,store_id,floor_id,pair_id,pid_dt,store_name,type_by_brand,store_name_eng,pid_count,pid_id,q1,q2,q3,bucket,store_duration
ZHDC_foshan_hyc_20230824_clusterid_24678,6,2023-08-24,1692856736,623.0,zhdc-foshan-hyc-B135-B136-N,B1,8,1882027,九木杂物社,零售,Nine wood ,21,3416034,58.0,144.0,372.0,Q4,Nine wood _Q4
ZHDC_foshan_hyc_20230714_clusterid_20251,6,2023-07-14,1689345012,14.0,zhdc-foshan-hyc-B125-B126-N,B1,32,916427,鲍师傅,餐饮,Baoshifu,5,2701591,59.0,406.0,2865.0,Q1,Baoshifu_Q1
ZHDC_foshan_hyc_20230219_clusterid_19783,6,2023-02-19,1676814272,363.0,zhdc-foshan-hyc-L217-218-N,L2,101,958721,波司登,零售,Bosideng,20,692625,58.0,144.0,372.0,Q3,Bosideng_Q3
ZHDC_foshan_hyc_20230624_clusterid_10540,6,2023-06-24,1687588340,185.0,zhdc-foshan-hyc-B154-N,B1,59,482633,生活无忧,零售,Wuyou,26,2384906,58.0,144.0,372.0,Q3,Wuyou_Q3
ZHDC_foshan_hyc_20230113_clusterid_7200,6,2023-01-13,1673596124,124.0,zhdc-foshan-hyc-B110-N,B1,51,231907,沃尔玛,主力店,Walmart,23,165494,131.0,634.0,1537.0,Q1,Walmart_Q1
tmpPID_zhdc_foshan_hyc_cluster_5102,7,2023-07-06,1688613255,,zhdc-foshan-hyc-L301-1-L301-2-N,L3,1,2855747,美吉姆,儿童,Megim,41,4145948,68.0,229.0,917.0,Q4,Megim_Q4
ZHDC_foshan_hyc_20230421_clusterid_5166,6,2023-04-21,1682077705,25.0,zhdc-foshan-hyc-L318-L319-N,L3,49,930808,传记潮发,餐饮,Chuan hair,12,1469384,59.0,406.0,2865.0,Q1,Chuan hair_Q1
ZHDC_foshan_hyc_20230531_clusterid_12067,6,2023-05-31,1685536706,727.0,zhdc-foshan-hyc-B129-N,B1,12,1691588,COCO都可,餐饮,Coco ,4,2017029,59.0,406.0,2865.0,Q3,Coco _Q3
ZHDC_foshan_hyc_20230422_clusterid_27448,7,2023-04-22,1682166311,359.0,zhdc-foshan-hyc-B135-B136-N,B1,32,950070,QUEENCHOICE,零售,Queenchoice,3,1483639,58.0,144.0,372.0,Q3,Queenchoice_Q3
ZHDC_foshan_hyc_20230523_clusterid_3700,6,2023-05-23,1684849259,218.0,zhdc-foshan-hyc-L136-N,L1,2,1553450,喜茶,餐饮,Hey Tea,3,1916342,59.0,406.0,2865.0,Q2,Hey Tea_Q2
ZHDC_foshan_hyc_20230726_clusterid_22838,6,2023-07-26,1690372005,464.0,zhdc-foshan-hyc-L129-N,L1,48,1207786,UR,零售,Ur,8,2918761,58.0,144.0,372.0,Q4,Ur_Q4
ZHDC_foshan_hyc_20230607_clusterid_5307,6,2023-06-07,1686104832,102.0,zhdc-foshan-hyc-L231-1-N,L2,13,144315,LIULIUMO,零售,Liuliumo,38,2136081,58.0,144.0,372.0,Q2,Liuliumo_Q2
